#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EIF2S1	RPL19	9606.ENSP00000256383	9606.ENSP00000225430	0	0	0.201	0	0.667	0	0	0.170	0.760
EIF2S1	DRG2	9606.ENSP00000256383	9606.ENSP00000225729	0	0	0	0	0.533	0	0	0	0.533
EIF2S1	RPS12	9606.ENSP00000256383	9606.ENSP00000230050	0	0	0	0	0.915	0.842	0.600	0	0.994
EIF2S1	EIF3K	9606.ENSP00000256383	9606.ENSP00000248342	0	0	0	0	0.316	0.822	0.600	0.193	0.955
EIF2S1	RPS16	9606.ENSP00000256383	9606.ENSP00000251453	0	0	0	0	0.868	0.940	0.600	0.180	0.997
EIF2S1	DHX29	9606.ENSP00000256383	9606.ENSP00000251636	0	0	0	0	0.088	0	0.540	0.376	0.715
EIF2S1	EIF2S3	9606.ENSP00000256383	9606.ENSP00000253039	0	0	0.219	0	0.793	0.994	0.900	0.989	0.999
EIF2S1	EIF3G	9606.ENSP00000256383	9606.ENSP00000253108	0	0	0	0	0.784	0.906	0.600	0.566	0.996
EIF2S1	RPL38	9606.ENSP00000256383	9606.ENSP00000309830	0	0	0	0	0.326	0	0	0.168	0.415
EIF2S1	RPLP1	9606.ENSP00000256383	9606.ENSP00000346037	0	0	0	0	0.409	0	0	0.119	0.457
EIF2S1	RPL22	9606.ENSP00000256383	9606.ENSP00000346088	0	0	0	0	0.419	0	0	0.113	0.463
EIF2S1	EIF2D	9606.ENSP00000256383	9606.ENSP00000271764	0	0	0	0	0.147	0	0	0.417	0.482
EIF2S1	RPL24	9606.ENSP00000256383	9606.ENSP00000377640	0	0	0	0	0.420	0	0	0.181	0.505
EIF2S1	RPL36	9606.ENSP00000256383	9606.ENSP00000464342	0	0	0	0	0.530	0	0	0.092	0.556
EIF2S1	RPL29	9606.ENSP00000256383	9606.ENSP00000418868	0	0	0	0	0.526	0	0	0.164	0.587
EIF2S1	ZC3H15	9606.ENSP00000256383	9606.ENSP00000338788	0	0	0	0	0.603	0	0	0	0.603
EIF2S1	RPL35	9606.ENSP00000256383	9606.ENSP00000259469	0	0	0	0	0.555	0	0	0.172	0.616
EIF2S1	RPL18	9606.ENSP00000256383	9606.ENSP00000447001	0	0	0	0	0.558	0	0	0.228	0.644
EIF2S1	RPL30	9606.ENSP00000256383	9606.ENSP00000428085	0	0	0	0	0.640	0	0	0.097	0.661
EIF2S1	RPL31	9606.ENSP00000256383	9606.ENSP00000386717	0	0	0	0	0.657	0	0	0.066	0.666
EIF2S1	GSPT2	9606.ENSP00000256383	9606.ENSP00000341247	0	0	0	0	0.487	0.261	0	0.206	0.672
EIF2S1	EIF4EBP1	9606.ENSP00000256383	9606.ENSP00000340691	0	0	0	0	0.067	0	0	0.675	0.685
