"ENTREZ","symbol_name","ensembl_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"10901","DHRS4","ENSG00000157326",67.0000000000001,190.833333333333,2.37818483556985,0.0665236289646551,0.214821632185307,-4.54918292859952
"494143","CHAC2","ENSG00000143942",45.3333333333333,65,2.37816062582822,0.0665255570893418,0.214821632185307,-4.54918356469314
"101928166","LOC101928166",NA,21.6666666666667,19.5,2.37813346390208,0.0665277204061804,0.214821632185307,-4.54918427836225
"64342","HS1BP3","ENSG00000118960",214.333333333333,383.833333333333,2.37771697519628,0.0665609013656946,0.214896624409243,-4.54919522262806
"79960","JADE1","ENSG00000077684",189.333333333333,1554.66666666667,2.37741461728322,0.066585001054485,0.214942279054584,-4.5492031692216
"55252","ASXL2","ENSG00000143970",1497.66666666667,3648.83333333333,2.37722483062679,0.066600133032403,0.214958975809534,-4.54920815780846
"57560","IFT80","ENSG00000068885",69.3333333333333,271.333333333333,2.37649730988811,0.0666581742130183,0.215114140855199,-4.54922728514653
"7042","TGFB2","ENSG00000092969",38,31,2.37487539427036,0.0667877689081467,0.215451978548847,-4.54926995159956
"64798","DEPTOR","ENSG00000155792",26,46.3333333333333,2.37485508264376,0.0667893935983405,0.215451978548847,-4.54927048613569
"4140","MARK3","ENSG00000075413",384.333333333334,1840.16666666667,2.37481239031569,0.0667928086211526,0.215451978548847,-4.54927160967657
"1659","DHX8","ENSG00000067596",504.666666666667,1606.66666666667,2.37453066072318,0.0668153493779057,0.215488212338785,-4.54927902458673
"7024","TFCP2","ENSG00000135457",283,1150.5,2.37440141858169,0.0668256926281597,0.215488212338785,-4.54928242648347
"56616","DIABLO","ENSG00000184047",98.6666666666667,369.666666666667,2.3741517597793,0.0668456777829515,0.215488212338785,-4.54928899858128
"221","ALDH3B1","ENSG00000006534",502.333333333333,630.5,2.37410703855828,0.066849258400989,0.215488212338785,-4.54929017592151
"100652758","LOC100652758","ENSG00000275765",48,76,2.37395414550426,0.0668615014135066,0.215488212338785,-4.54929420121015
"54504","CPVL","ENSG00000106066",1844.66666666667,2262,2.37392361405058,0.0668639465335145,0.215488212338785,-4.54929500506232
"871","SERPINH1","ENSG00000149257",48.3333333333334,117.166666666667,2.37376417042368,0.0668767172094649,0.215497191330529,-4.54929920319348
"83666","PARP9","ENSG00000138496",755,1919.83333333333,2.37328358896288,0.0669152256333255,0.215589090139433,-4.54931185882041
"1066","CES1","ENSG00000198848",176.333333333333,282.833333333333,2.37315034749395,0.0669259064064441,0.215591319100042,-4.54931536812523
"50640","PNPLA8","ENSG00000135241",363,839.833333333333,2.37223231157688,0.0669995477894819,0.215774783327515,-4.5493395534942
"107986294","LOC107986294",NA,66.3333333333334,50.8333333333333,2.37209594340259,0.0670104942853554,0.215774783327515,-4.54934314699499
"4568","TRNL2",NA,650.333333333333,448.166666666667,2.37203659894909,0.0670152585720085,0.215774783327515,-4.54934471088275
"27343","POLL","ENSG00000166169",182.666666666667,499.333333333333,2.37179560942151,0.0670346094793011,0.215774783327515,-4.54935106207736
"3912","LAMB1","ENSG00000091136",-70.6666666666666,193.666666666667,-2.37178366993368,0.0670355683516335,0.215774783327515,-4.54935137675779
"3690","ITGB3","ENSG00000259207",6198,5041.33333333333,2.37169308552245,0.0670428437656635,0.215774783327515,-4.54935376428515
"101929147","WARS2-AS1","ENSG00000231365",-117.666666666667,206.833333333333,-2.37146407369738,0.0670612410214608,0.21580181377161,-4.5493598008051
"6689","SPIB","ENSG00000269404",414.666666666667,452.333333333333,2.37122419781775,0.0670805169393658,0.21583166325318,-4.54936612441338
"28793","IGLV3-25","ENSG00000211659",46.6666666666667,63.3333333333333,2.37105155842663,0.067094393623406,0.215839284203149,-4.54937067599096
"2780","GNAT2","ENSG00000134183",-57,99.1666666666667,-2.3709459194084,0.0671028863922127,0.215839284203149,-4.54937346131593
"92799","SHKBP1","ENSG00000160410",1326,2010.66666666667,2.37042561890171,0.0671447327071713,0.21590974124451,-4.54938718188197
"800","CALD1","ENSG00000122786",170.333333333333,195.833333333333,2.37042480274691,0.0671447983706228,0.21590974124451,-4.54938720340708
"10308","ZNF267","ENSG00000185947",510.666666666667,1064.33333333333,2.37004837391612,0.0671750913049104,0.215974973280781,-4.54939713218393
"84919","PPP1R15B","ENSG00000158615",681,3240.83333333333,2.36959756524105,0.067211389581364,0.216030414119873,-4.54940902521868
"114790","STK11IP","ENSG00000144589",165,545.166666666667,2.36958559441632,0.0672123537420629,0.216030414119873,-4.54940934106329
"440435","GPR179","ENSG00000277399",-30.3333333333333,33.1666666666667,-2.3687170754467,0.0672823468229197,0.216172186166307,-4.54943226144657
"10218","ANGPTL7","ENSG00000171819",-36,85.6666666666667,-2.36869953738672,0.0672837610180614,0.216172186166307,-4.54943272437927
"80333","KCNIP4","ENSG00000185774",-31.6666666666667,101.833333333333,-2.36866544643028,0.0672865100618659,0.216172186166307,-4.54943362425173
"105373793","LOC105373793",NA,24.6666666666667,29,2.3678565020831,0.0673517781543194,0.216330438421654,-4.54945498171168
"9324","HMGN3","ENSG00000118418",257.333333333333,435,2.36780650197284,0.0673558145852531,0.216330438421654,-4.54945630207292
"10023","FRAT1","ENSG00000165879",172,358.666666666667,2.36767649876217,0.0673663107790585,0.216331957379024,-4.54945973523988
"101928517","LOC101928517","ENSG00000269072",63.3333333333333,76.3333333333333,2.36698646385416,0.0674220527199714,0.216436038676155,-4.54947796154481
"81605","URM1","ENSG00000167118",334.666666666667,539,2.36693097204096,0.0674265376118975,0.216436038676155,-4.54947942754936
"158586","ZXDB","ENSG00000198455",202,502.666666666667,2.36690290430186,0.0674288061927658,0.216436038676155,-4.54948016906902
"11158","RABL2B","ENSG00000079974",189,649.833333333333,2.36650408325612,0.0674610500012148,0.216507337126575,-4.54949070658978
"28408","IGHV3-74","ENSG00000224650",235.666666666667,184.166666666667,2.36616860240326,0.0674881859412119,0.216553099438451,-4.54949957214106
"58473","PLEKHB1","ENSG00000021300",159.666666666667,384.833333333333,2.36607973677635,0.0674953759867702,0.216553099438451,-4.54950192078226
"7050","TGIF1","ENSG00000177426",151.666666666667,361.166666666667,2.36572277167074,0.0675242661781323,0.216613590505742,-4.54951135608325
"226","ALDOA","ENSG00000149925",2114.66666666667,2841.33333333333,2.3652864981364,0.0675595933738123,0.216694710029275,-4.54952288989092
"127254","ERICH3","ENSG00000178965",17.3333333333333,13.6666666666667,2.36506188128316,0.0675777895706172,0.216718852119257,-4.54952882906454
"2535","FZD2","ENSG00000180340",54,94,2.36494571128769,0.0675872025953166,0.216718852119257,-4.54953190101118
"28660","TRAV23DV6","ENSG00000211803",23,34.8333333333333,2.36436741804835,0.0676340818717953,0.216831390914397,-4.54954719571932
"6294","SAFB","ENSG00000160633",716.666666666667,1659.66666666667,2.36426494684106,0.0676423923933944,0.216831390914397,-4.54954990632821
"50838","TAS2R13","ENSG00000212128",-64,63,-2.36413766699886,0.0676527164746738,0.216832280913704,-4.5495532733731
"5832","ALDH18A1","ENSG00000059573",128,490,2.36384290717212,0.0676766320118133,0.216876725866513,-4.54956107171295
"3191","HNRNPL","ENSG00000104824",1569.66666666667,2991.16666666667,2.36371400203356,0.067687093719855,0.216878049844957,-4.5495644824548
"56548","CHST7","ENSG00000147119",29.3333333333333,101.666666666667,2.36323556905037,0.0677259379266699,0.216970301064467,-4.54957714333457
"55486","PARL","ENSG00000175193",134.666666666667,478.666666666667,2.36282509780852,0.0677592836969281,0.217044912441496,-4.5495880080759
"7551","ZNF3","ENSG00000166526",215.666666666667,641.166666666667,2.36253170285035,0.0677831294422085,0.217089075938742,-4.5495957752606
"59271","EVA1C","ENSG00000166979",-115,320.833333333333,-2.36229736296477,0.0678021820575784,0.217098515322476,-4.54960197984827
"58484","NLRC4","ENSG00000091106",312,597.333333333333,2.3622480229654,0.0678061943098183,0.217098515322476,-4.54960328630733
"23476","BRD4","ENSG00000141867",2190,4048.66666666667,2.3620660457513,0.0678209946572076,0.217113694406187,-4.54960810509843
"1378","CR1","ENSG00000203710",1798,2654.33333333333,2.36176413826458,0.0678455568108103,0.217160114585158,-4.54961610060635
"51366","UBR5","ENSG00000104517",1104.66666666667,5591,2.36149811257809,0.067867207798145,0.217185789021436,-4.54962314681831
"1663","DDX11","ENSG00000013573",53.3333333333333,153.666666666667,2.36135254084553,0.0678790586148491,0.217185789021436,-4.54962700295686
"105373880","LOC105373880",NA,19.3333333333333,18.6666666666667,2.36129471814881,0.0678837665171016,0.217185789021436,-4.54962853473332
"4733","DRG1","ENSG00000185721",177.333333333333,455,2.36108546719004,0.0679008066326433,0.217208108722742,-4.54963407834364
"107985193","LOC107985193",NA,-192.333333333333,426.833333333333,-2.360785250825,0.0679252625741401,0.217234984228221,-4.54964203285255
"55611","OTUB1","ENSG00000167770",675.333333333334,919.333333333333,2.36060063279403,0.0679403065308465,0.217234984228221,-4.54964692505356
"51497","NELFCD","ENSG00000101158",270.666666666667,938,2.3605062592774,0.0679479981446948,0.217234984228221,-4.54964942603091
"1733","DIO1","ENSG00000211452",-35.3333333333333,42.3333333333333,-2.36034647306323,0.0679610231812932,0.217234984228221,-4.54965366076113
"162993","ZNF846","ENSG00000196605",-46,267.333333333333,-2.36032366479256,0.0679628826289274,0.217234984228221,-4.54965426526358
"57171","DOLPP1","ENSG00000167130",52.9999999999999,164.833333333333,2.36018640788276,0.0679740736922144,0.217234984228221,-4.54965790321433
"79176","FBXL15","ENSG00000107872",95.3333333333333,131,2.36007887341169,0.0679828427813304,0.217234984228221,-4.54966075355081
"107985228","LINC02803","ENSG00000227740",-25.3333333333333,42.3333333333333,-2.35999444045953,0.0679897288820661,0.217234984228221,-4.54966299165685
"108783654","HSD17B1-AS1","ENSG00000266962",107,173.833333333333,2.35942238990359,0.0680364036962979,0.217311930214645,-4.54967815770249
"105370178","LOC105370178",NA,-32.3333333333333,28.8333333333333,-2.35939698311766,0.0680384775011723,0.217311930214645,-4.54967883137792
"59286","UBL5","ENSG00000198258",145.333333333333,276.333333333333,2.35930024567167,0.0680463742355946,0.217311930214645,-4.54968139650259
"9450","LY86","ENSG00000112799",460.333333333333,521.5,2.35919983613508,0.0680545717836283,0.217311930214645,-4.54968405912522
"284029","LINC00324","ENSG00000178977",56.3333333333333,141.166666666667,2.35908247584102,0.0680641545777232,0.217311930214645,-4.54968717140634
"105374943","LOC105374943",NA,-32.6666666666667,39.3333333333333,-2.35892549058753,0.0680769751639486,0.21731472632151,-4.54969133478033
